delivery_id,order_id,route_id,carrier_type,dispatch_time,promised_delivery_time,actual_delivery_time,delivery_distance_km,delay_minutes,delivery_date
1,93848,19,3PL Partner,2025-05-04 12:00:00,2025-05-04 12:24:27.744879,2025-05-04 12:44:06.977741,6.34,19.7,2025-05-04
2,34127,2,3PL Partner,2025-06-28 06:00:00,2025-06-28 07:12:51.494899,2025-06-28 07:04:18.480267,15.86,-8.6,2025-06-28
3,67692,11,Bike,2025-02-21 03:00:00,2025-02-21 03:32:47.819755,2025-02-21 03:44:58.045286,7.24,12.2,2025-02-21
4,47500,13,Bike,2025-05-31 06:00:00,2025-05-31 09:01:27.946382,2025-05-31 09:03:06.540393,33.22,1.6,2025-05-31
5,43785,15,Van,2025-05-23 10:00:00,2025-05-23 12:43:11.597939,2025-05-23 12:33:21.605408,38.73,-9.8,2025-05-23
6,94146,12,3PL Partner,2025-01-29 03:00:00,2025-01-29 06:26:45.899176,2025-01-29 06:50:33.217061,46.43,23.8,2025-01-29
7,99126,11,Bike,2025-01-13 06:00:00,2025-01-13 07:10:01.228936,2025-01-13 07:17:35.638601,23.03,7.6,2025-01-13
8,57997,7,Van,2025-03-27 01:00:00,2025-03-27 04:11:26.394042,2025-03-27 04:13:17.334018,45.27,1.8,2025-03-27
9,17170,5,Van,2025-06-19 12:00:00,2025-06-19 15:38:11.532689,2025-06-19 15:31:04.852005,44.14,-7.1,2025-06-19
10,23303,17,Bike,2025-03-03 20:00:00,2025-03-03 20:52:28.655673,2025-03-03 20:42:28.655673,17.23,-10.0,2025-03-03
11,81743,20,3PL Partner,2025-05-14 11:00:00,2025-05-14 13:47:57.084484,2025-05-14 14:37:43.606113,43.71,49.8,2025-05-14
12,87852,9,Truck,2025-02-13 19:00:00,2025-02-13 20:12:35.659014,2025-02-13 20:29:16.601394,20.03,16.7,2025-02-13
13,45187,14,Truck,2025-01-30 10:00:00,2025-01-30 10:50:47.755835,2025-01-30 10:40:47.755835,16.25,-10.0,2025-01-30
14,75034,12,Van,2025-05-08 22:00:00,2025-05-09 00:27:08.231690,2025-05-09 00:42:53.670768,33.16,15.8,2025-05-08
15,81776,6,Truck,2025-04-02 06:00:00,2025-04-02 07:02:58.222031,2025-04-02 07:34:12.641443,17.76,31.2,2025-04-02
16,11893,17,Truck,2025-05-09 19:00:00,2025-05-09 21:48:38.594587,2025-05-09 22:01:59.615722,32.25,13.4,2025-05-09
17,23753,19,Bike,2025-01-03 06:00:00,2025-01-03 08:53:21.887747,2025-01-03 09:30:50.713358,31.27,37.5,2025-01-03
18,48090,19,Van,2025-06-04 08:00:00,2025-06-04 10:14:40.492954,2025-06-04 10:04:40.492954,29.05,-10.0,2025-06-04
19,74922,16,3PL Partner,2025-03-03 04:00:00,2025-03-03 06:00:26.942346,2025-03-03 05:50:26.942346,20.26,-10.0,2025-03-03
20,86768,12,Van,2025-02-20 09:00:00,2025-02-20 11:03:16.044767,2025-02-20 11:18:28.665673,28.33,15.2,2025-02-20
21,69412,12,Bike,2025-06-21 23:00:00,2025-06-22 01:19:04.159181,2025-06-22 01:34:35.954553,30.63,15.5,2025-06-21
22,66030,20,Truck,2025-02-28 21:00:00,2025-02-28 23:48:14.752395,2025-02-28 23:38:14.752395,28.19,-10.0,2025-02-28
23,27509,6,3PL Partner,2025-06-09 23:00:00,2025-06-10 00:26:12.237505,2025-06-10 00:23:43.946196,23.33,-2.5,2025-06-09
24,78653,4,Van,2025-06-29 16:00:00,2025-06-29 16:15:45.482512,2025-06-29 16:05:45.482512,2.7,-10.0,2025-06-29
25,46929,6,Truck,2025-03-03 16:00:00,2025-03-03 17:34:24.915885,2025-03-03 17:24:24.915885,30.18,-10.0,2025-03-03
26,58291,11,Van,2025-02-21 11:00:00,2025-02-21 11:43:45.712164,2025-02-21 11:33:45.712164,10.09,-10.0,2025-02-21
27,14042,1,3PL Partner,2025-02-08 01:00:00,2025-02-08 02:45:25.707081,2025-02-08 03:07:20.652443,32.84,21.9,2025-02-08
28,72574,15,Van,2025-05-11 16:00:00,2025-05-11 19:19:27.575397,2025-05-11 19:09:27.575397,38.45,-10.0,2025-05-11
29,47201,11,Van,2025-04-11 16:00:00,2025-04-11 18:05:33.542126,2025-04-11 17:55:53.795565,26.02,-9.7,2025-04-11
30,24016,19,Van,2025-03-22 16:00:00,2025-03-22 18:23:31.714151,2025-03-22 18:13:31.714151,28.03,-10.0,2025-03-22
31,35022,18,Truck,2025-01-02 01:00:00,2025-01-02 04:16:34.106718,2025-01-02 04:51:56.798289,47.67,35.4,2025-01-02
32,37938,17,3PL Partner,2025-02-23 22:00:00,2025-02-24 00:55:16.972122,2025-02-24 01:13:58.530961,42.66,18.7,2025-02-23
33,53678,19,3PL Partner,2025-05-09 18:00:00,2025-05-09 20:23:53.295581,2025-05-09 20:13:53.295581,45.88,-10.0,2025-05-09
34,71720,14,Truck,2025-05-06 01:00:00,2025-05-06 03:46:17.363038,2025-05-06 03:36:38.674943,41.06,-9.6,2025-05-06
35,66805,18,Truck,2025-02-22 11:00:00,2025-02-22 11:41:50.109307,2025-02-22 12:02:24.330768,7.23,20.6,2025-02-22
36,84323,19,Truck,2025-06-09 05:00:00,2025-06-09 05:37:51.985580,2025-06-09 06:13:29.656639,9.15,35.6,2025-06-09
37,11986,15,Bike,2025-06-09 22:00:00,2025-06-10 00:29:52.069661,2025-06-10 00:56:41.076172,27.28,26.8,2025-06-09
